Name,Latitude,Longitude
Дивино Винарија,42.0196012,21.4290087
Филовски винарија - Дирекција,41.99024133,21.43550082
Винарија Брзанов,42.0082705,21.3673592
Лозница - Национална кафана и винарија,41.99401093,21.43592072
Борд лајф винари,41.99401093,21.43592072
Винарија Попов,41.43360138,22.01239967
Винарија Охрид,41.1183815,20.79999352
Кралска Винарија-Кралица Марија,41.4097388,22.24359005
Винарија Илиев,41.49067688,22.0253334
Семејна Винарија Захарчев,41.4360145,22.0049644
Стоби Винарија,41.71725082,21.77546692
Лазар Винарија,41.71725082,21.77546692
Винарија Кимов,41.48379898,22.09109879
Винарија Томов,41.46794891,22.08270645
Иванов Винарија,41.4359157,22.0052546
Арабеска винарија,41.49067688,22.0253334
Винарија-Дестилерија Кабранов,41.4808163,22.0795538
Дизајн Центар Инженеринг-Винарија Грков,41.4356856,22.0080115
Манастирска винарија,41.18396378,20.86824226
Бади Винарија,41.4322616,22.0061076
Тристо Винари,41.71725082,21.77546692
Винарис,41.4366777,22.0128893
Винова винари,41.48425195,22.09529094
Сковин - дирекција,41.99401093,21.43592072
Риго-импекс,42.00364461,21.42431837
Гемакс,41.99401093,21.43592072
Винарска Визба Тиквеш - дирекција,42.1149631,21.7291533
Картал,41.96233185,21.47459354
Таком Груп,41.9897596,21.4586799
Попова кула,41.9926271,21.4287117
Далвина,41.9996093,21.4132101
Имако Вино,41.99401093,21.43592072
Кувин,42.0095575,21.3512216
Антигона Парк,41.99401093,21.43592072
Парагон урбан вајнери,41.97113443,21.46785206
Винарска Визба Тиквеш-Продавница Центар,42.0286536,21.4419798
Шато Камник,41.99401093,21.43592072
Кодкордиа,42.0075398,21.4962984
Струмичко поле,41.43753433,22.64304924
Имако Вино,41.75672263,22.2038285
Винарска Визба Тиквеш,41.43482861,22.00867819
Бовин,41.48379898,22.09109879
Венец,41.42817307,22.09661865
Дудин,41.48379898,22.09109879
Аневски винерија,41.75610775,22.1768844
Пеца Комерц,41.4343858,22.00301967
Пивка,41.48379898,22.09109879
Гоце Делчев-Тиквеш,41.4297905,21.92541122
Ерос трејд,41.46704865,22.02926826
Попова Кула,41.48627341,22.08728255
ММ Инвестмент - Лозар,41.71725082,21.77546692
Кокино вино,42.13582993,21.71805954
Визба Валандово,41.4343335,22.6354799
Пирган,41.35546025,21.53486973
Имако Вино,41.02717972,21.34246063
Езимит,41.75936658,22.18624925
Далвина,41.43753433,22.64304924
Риго импекс,41.14536505,22.5037548
Езимит,41.8636143,21.9437277
Шато сопот,41.71725082,21.77546692
ВВМ ГД Тиквеш,41.4349818,22.019252
Агрониколов,41.8718083,21.9397894
Изворно,41.7164571,21.7835914
Бујук,41.37831116,22.01427269
Ангелови,41.441047,22.0083648
Дестилерија Китвин,41.4422032,22.0090672
Зик Градиште,42.13582993,21.71805954
Лазар,41.71725082,21.77546692
Далвина,41.43753433,22.64304924
Пешков,41.38856506,21.97818565
Паруни,42.0102272,20.9713726
Олд Скул Винери,41.71725082,21.77546692
Коцев Фемили Вајн,41.71725082,21.77546692
Вински подрум Попови,41.4355692,22.018405
Донов,41.430002,22.0191015
Максимилијан,41.48379898,22.09109879
Јостела,41.1353399,22.4840065
Сарика,41.3403327,21.5623308
Ростфреи Мајор Инокс,41.0330964,21.30153695
Темка Трејд,41.4371262,22.0050428
